,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
8,5,1,2,1,1,1,33,33,36,14,95.199356,5:50
18,5,1,3,1,1,1,37,81,13,21,92.918915,<
19,5,1,3,1,1,2,76,84,57,23,96.911446,Apps
31,5,1,5,1,1,2,108,259,133,36,96.771805,Accessibility
33,5,1,5,1,2,1,109,298,41,12,96.166107,35.25
34,5,1,5,1,2,2,157,298,22,12,96.961594,MB
38,5,1,6,1,1,1,108,362,56,19,91.269432,Afore
39,5,1,6,1,1,2,172,363,59,18,91.269432,SURA
41,5,1,6,1,2,1,109,393,41,12,96.647514,66.17
42,5,1,6,1,2,2,157,393,22,12,96.187126,MB
53,5,1,7,1,4,2,108,459,86,17,96.658264,Amazon
54,5,1,7,1,4,3,202,458,98,23,96.575729,Shopping
56,5,1,7,1,5,1,109,488,26,13,94.188652,263
57,5,1,7,1,5,2,142,488,23,12,94.188652,MB
61,5,1,8,1,1,1,108,553,81,18,96.177231,Android
62,5,1,8,1,1,2,197,554,49,17,96.846031,Auto
64,5,1,8,1,2,1,109,584,41,12,96.596169,67.00
65,5,1,8,1,2,2,157,584,22,12,96.619682,MB
69,5,1,9,1,1,1,108,648,81,19,96.766975,Android
70,5,1,9,1,1,2,198,648,69,19,96.65567,Switch
72,5,1,9,1,2,1,109,679,41,12,96.071556,26.07
73,5,1,9,1,2,2,157,679,22,12,96.396309,MB
82,5,1,11,1,1,2,108,744,81,18,96.508133,Android
83,5,1,11,1,1,3,198,744,76,23,96.676758,System
84,5,1,11,1,1,4,284,745,36,22,96.423866,Key
85,5,1,11,1,1,5,327,743,73,19,96.817657,Verifier
87,5,1,11,1,2,1,109,774,41,12,94.664253,13.47
88,5,1,11,1,2,2,157,774,22,12,96.579369,MB
93,5,1,12,1,1,2,108,839,81,18,96.28862,Android
94,5,1,12,1,1,3,198,840,76,22,93.278595,System
95,5,1,12,1,1,4,283,839,114,23,91.770767,SafetyCore
97,5,1,12,1,2,1,109,869,41,13,95.06105,17.85
98,5,1,12,1,2,2,157,869,22,13,96.322197,MB
107,5,1,14,1,1,2,108,934,81,18,96.250687,Android
108,5,1,14,1,1,3,198,935,76,22,93.259186,System
109,5,1,14,1,1,4,282,934,97,18,91.873337,WebView
111,5,1,14,1,2,1,109,965,41,12,96.38253,85.05
112,5,1,14,1,2,2,157,965,22,12,96.240501,MB
